PIN,pc1,pc2,pc3,pc4,pc5,pc6,pc7,lat,long_,Prairie_X,sale_amoun,sale_year
06-14-307-035,-1.57888436,-0.687985103,3.64437419,4.393086286,1.229699129,0.776852555,-0.30817158,42.375753,-88.040082,0,237000,2006
06-14-307-046,-0.637225488,-1.308374869,3.488295565,3.98312628,0.719122863,0.554811037,-0.685234133,42.375292,-88.038763,0,192000,2010
06-14-307-054,-0.783244295,-1.514987742,3.72764201,4.134601902,1.032461611,0.576166659,-0.244731923,42.374686,-88.03806,0,178000,2009
06-14-307-055,-0.971990577,-1.391303992,3.70527475,4.17490672,0.967587544,0.532876449,-0.171846765,42.374991,-88.037853,0,215000,2008
06-14-307-063,-0.708905675,-1.900885666,3.581459407,4.122930831,0.727558986,-0.88863831,0.777811526,42.375129,-88.037099,0,212000,2010
06-14-308-005,0.100917194,-2.711076193,3.774966812,3.936304852,1.099233541,-0.712342468,1.183638988,42.377716,-88.040532,0,226000,2010
06-14-308-008,-0.518655557,-2.018672548,3.701953414,4.095188577,1.305256555,0.790650516,-0.067800374,42.377495,-88.040622,0,256000,2007
06-14-308-011,-1.572673012,-0.96077964,3.484985384,4.4097236,1.296485608,0.581565457,-0.348027661,42.377223,-88.040786,0,170000,2010
06-14-308-015,-0.54225481,-2.005635576,3.652134942,4.097338817,1.266546634,0.767665191,-0.094277512,42.376954,-88.040652,0,212500,2010
06-14-308-025,-1.126739474,-1.189625179,3.727969859,4.274913727,1.189780038,0.48380424,-0.130932774,42.376298,-88.040006,0,196000,2007
06-14-308-039,-1.928433059,-0.329438418,3.673852824,4.430488047,1.143217331,0.743184287,-0.305817958,42.375836,-88.038501,0,187000,2007
06-14-308-073,-0.722461511,-1.911452366,3.633804338,4.07664906,1.07159951,0.708155146,-0.038745385,42.376418,-88.038358,0,253000,2006
06-14-308-076,-0.068163735,-2.599772257,3.725585581,3.907374942,0.843354906,-0.7194505,1.112436767,42.376289,-88.037986,0,297000,2007
06-15-201-003,2.36806761,-6.792440502,1.667122082,3.773156415,1.838908406,3.098912079,-0.586951023,42.385089,-88.04883,0,425000,2008
06-15-301-054,-0.836645007,-0.731928845,3.166759549,4.507819072,1.638756616,-0.836615431,0.103967746,42.372202,-88.061251,0,184000,2006
06-15-301-055,-0.836677972,-0.731703281,3.166717651,4.507856847,1.638361241,-0.836843314,0.103738725,42.372196,-88.061251,0,130000,2009
06-15-301-056,-0.572577455,-1.757293554,3.195965913,4.526684348,1.95154653,-0.92952854,0.603032693,42.372548,-88.060484,0,188500,2007
06-15-301-057,-0.883645479,-1.1803638,3.365127826,4.590963987,2.044687776,-0.714273342,0.703471303,42.372542,-88.060484,0,150000,2007
06-15-301-059,-0.572651123,-1.756580274,3.19580403,4.526812821,1.95046185,-0.930243751,0.602327888,42.372531,-88.060484,0,146250,2008
06-15-301-066,-0.572672926,-1.741893673,3.190754057,4.523775614,1.936153938,-0.943402164,0.590907939,42.372182,-88.06039,0,167500,2010
06-15-301-068,-0.79803611,-0.780746362,3.217962239,4.530677428,1.755076784,-0.780890897,0.158612764,42.374036,-88.061596,0,194000,2006
06-15-301-070,-0.573124498,-1.798913844,3.21440666,4.598878779,1.981002776,-0.905734444,0.611685063,42.374025,-88.061596,0,191000,2008
06-15-301-074,-0.800166806,-0.770195769,3.216047624,4.523872227,1.735148987,-0.789906856,0.150684504,42.3737,-88.061499,0,173000,2007
06-15-301-075,-0.800211367,-0.769990194,3.216021303,4.523882568,1.734725785,-0.790113247,0.15047538,42.373694,-88.061499,0,188600,2006
06-15-301-076,-0.489212414,-1.346476539,3.046779045,4.459656164,1.640799918,-1.005813313,0.049592654,42.373689,-88.061499,0,183000,2008
06-15-301-077,-0.763667433,-0.775808143,3.25137721,4.485037676,1.805813241,-0.762328569,0.189646871,42.374034,-88.060891,0,190000,2006
06-15-301-083,0.009415928,-1.428681128,3.487961034,4.195392692,1.916876669,0.431817741,-0.207881262,42.373696,-88.060898,0,197500,2006
06-15-301-088,-0.894747622,-1.179660386,3.380050534,4.67590741,1.978723369,-0.735542015,0.664222463,42.372938,-88.061755,0,181000,2007
06-15-301-095,-0.798271691,-0.710824256,3.190765039,4.457576771,1.693729243,-0.831264346,0.125632334,42.371906,-88.060376,0,170000,2009
06-15-301-097,-1.637826087,-0.178618632,3.439820677,4.815227419,2.2161862,0.723230107,-0.209154541,42.373138,-88.060987,0,104000,2008
06-15-301-098,-0.942813771,-0.788680567,3.637987779,4.596233998,2.213888072,0.791453257,0.054202875,42.373133,-88.060987,0,177000,2006
06-15-301-100,-0.286591296,-1.389220872,3.193743545,4.325608781,1.764981508,0.177452639,-0.632814874,42.373122,-88.060988,0,154900,2008
06-15-301-109,-0.337216962,-1.160634906,3.296174693,4.318910133,1.740400517,0.668543996,-0.559329409,42.372466,-88.061035,0,179000,2006
06-15-301-112,-0.775013782,-0.712077483,3.227851606,4.506188564,1.635606288,-0.906268175,0.087678027,42.371927,-88.061058,0,170500,2007
06-22-101-003,3.440798438,0.157780592,-1.332243432,1.451476228,-0.27318844,0.870785564,-0.390376144,42.371268,-88.054313,0,316400,2008
06-22-101-006,3.237471679,0.912068791,-0.953210065,1.523549508,-0.065714407,0.801666603,-0.66821778,42.371263,-88.053591,0,250000,2009
06-22-102-008,4.091361205,-0.803056694,-1.058123133,1.388853914,-0.104058124,-0.220258879,1.448355379,42.369536,-88.053821,0,335500,2006
06-22-102-013,3.816616334,0.184197949,-1.579622193,1.427955723,-0.842567893,-2.109974364,-0.555991119,42.370284,-88.054766,0,258000,2008
06-22-102-023,3.60335872,-0.17769345,-1.669285679,1.500624302,-0.280486684,-0.546075421,-0.59972834,42.368982,-88.053484,0,300000,2006
06-22-103-005,4.154187993,-0.203144204,-1.088403241,1.339680019,-0.344639049,-0.740899228,0.324483858,42.370032,-88.053444,0,328000,2009
06-22-104-002,2.537251858,1.521738107,-1.255156103,1.715001465,-0.464603598,-0.681143906,0.44679665,42.368289,-88.053542,0,199751,2007
06-22-104-003,3.329466671,-0.231098699,-1.820057341,1.558978392,-0.730628377,-2.626697502,0.047093771,42.36813,-88.053625,0,244500,2007
06-22-104-006,2.890550012,0.592828248,-1.477752603,1.60430072,-0.660138992,-0.49536693,-0.647676268,42.367792,-88.054439,0,201000,2010
06-22-104-019,2.321138787,1.75017329,-0.938416601,1.600223775,-0.748134743,0.940745862,-0.25756995,42.366748,-88.054609,0,232250,2006
06-22-104-023,2.693569897,0.75770677,-1.248543438,1.541278262,-1.063655157,-0.213193287,-0.527512566,42.366422,-88.055266,0,121000,2010
06-22-104-028,2.809117545,0.908054538,-1.11769535,1.443823585,-1.047407295,-0.545736568,0.677024791,42.366432,-88.054328,0,271500,2007
06-22-104-037,3.355460854,0.226834673,-1.097821674,1.260919219,-1.11882604,-0.556486948,0.644463639,42.366012,-88.054002,0,215000,2009
06-22-104-038,2.793951041,0.607813728,-1.22569179,1.45829239,-1.308559,-1.054949054,0.184906696,42.365708,-88.054658,0,192000,2010
06-22-104-052,4.367517357,-1.297115308,-1.481556502,1.495049637,-0.919565285,-2.441923256,0.254950348,42.370708,-88.058036,0,251500,2007
06-22-104-056,2.952811448,0.737417507,-1.440755683,1.76637049,-0.556166205,-0.70296551,0.180925679,42.369576,-88.05574,0,243000,2007
06-22-104-059,2.890701829,1.041620342,-1.281223201,1.730089442,-0.360578349,0.541186305,-0.527982986,42.369542,-88.055275,0,203000,2010
06-22-104-066,2.810696692,1.284533273,-1.196904023,1.731965005,-0.418105294,-0.093553679,0.165774105,42.369142,-88.055179,0,223500,2009
06-22-104-068,2.701475214,1.217958769,-1.274725309,1.734062426,-0.474475082,0.802728492,-0.345423768,42.368702,-88.055513,0,255000,2007
06-22-104-078,3.64078886,-0.073485643,-1.413895987,1.519909951,-0.687241359,-2.00150812,0.54956222,42.368634,-88.054578,0,240000,2009
06-22-105-001,3.405303777,-0.018256348,-1.343830637,1.899441513,-1.024519278,-0.050357799,-0.063320048,42.371373,-88.061873,0,275000,2008
06-22-105-005,3.447914936,-0.355254181,-0.981998059,1.981877623,-0.642041621,0.955441733,-0.120154763,42.370513,-88.061887,0,312000,2007
06-22-105-007,3.698306482,-0.670537045,-1.476772806,1.855005058,-1.139681969,-0.628268297,-1.248240906,42.370031,-88.06182,0,275500,2009
06-22-105-017,5.607232139,-3.290125759,-1.279648701,1.117235072,-2.045973143,-3.492707319,0.193852873,42.368083,-88.061329,0,389750,2007
06-22-105-019,2.761874347,0.623624662,-0.872069335,1.777663455,-1.826229939,-0.862377522,0.308541273,42.367644,-88.061363,0,205000,2010
06-22-105-034,2.699521506,0.509195558,-0.636247975,1.382886582,-1.911343602,1.526907585,-0.170137947,42.365022,-88.061355,0,350000,2006
06-22-105-042,3.163883731,-0.143839304,-0.859633266,1.222412909,-1.966803177,0.310475775,0.381713423,42.364501,-88.059394,0,278000,2008
06-22-106-001,3.822140939,-0.182133596,-1.068289362,1.690145994,-0.832515181,1.153503586,-0.635139223,42.371323,-88.061228,0,271900,2007
06-22-106-008,3.016848631,0.810898741,-1.136749183,1.904865029,-0.717935172,0.493039358,-0.651586083,42.370771,-88.059604,0,265200,2007
06-22-106-034,2.904714738,0.405402368,-1.009659357,1.527531236,-1.532272931,-0.225802752,-0.598723471,42.365987,-88.05741,0,272000,2007
06-22-106-037,3.726075274,-0.781344094,-1.222119527,1.278075847,-1.50155547,-0.514733032,-0.830450117,42.366007,-88.056827,0,300000,2006
06-22-106-038,4.391903913,-1.023814809,-0.807028375,1.042902197,-1.598787993,-0.117328176,0.820213585,42.366235,-88.057178,0,318000,2007
06-22-106-042,4.264353892,-1.468815507,-1.401299304,1.092826644,-1.584310572,-1.544818571,0.745964953,42.366352,-88.056253,0,297000,2007
06-22-106-043,2.916941605,0.637772695,-1.031888646,1.483435733,-1.21876917,0.638280628,-0.547067399,42.366161,-88.056098,0,296000,2006
06-22-106-045,2.650716606,0.987543849,-0.889228144,1.52234035,-1.285747732,0.246738606,-0.541171448,42.36572,-88.056125,0,172000,2010
06-22-106-046,3.590118223,-0.585556593,-1.269719039,1.276122096,-1.37764576,-0.38083922,-0.721198607,42.365676,-88.05575,0,305000,2007
06-22-107-012,3.435290657,-0.37494011,-1.044347835,1.941935323,-0.572344031,0.967386449,-0.1031594,42.37046,-88.061192,0,310000,2007
06-22-108-003,3.261365831,0.0840227,-1.079979243,1.60728097,-1.363116087,0.824672572,-0.629412545,42.368274,-88.060265,0,210000,2008
06-22-108-005,2.527238855,1.183404023,-0.796335088,1.811034665,-1.393542592,0.830370861,-0.528553978,42.367929,-88.060597,0,250000,2008
06-22-108-006,2.608311561,0.953038836,-0.857094085,1.776427862,-1.639675347,-0.299200177,0.393513313,42.367717,-88.060626,0,225000,2008
06-22-108-012,3.048197499,0.112520869,-0.855882633,1.493078651,-1.797652568,0.40306456,-0.54527392,42.366519,-88.060277,0,280000,2008
06-22-109-003,3.273442603,-0.417510943,-1.570775766,1.698066459,-1.417407643,-2.630704249,-0.301484333,42.367799,-88.058223,0,293500,2007
06-22-109-011,4.395103896,-0.882877635,-0.837563824,1.221963443,-1.38502311,0.23833529,0.599482176,42.368009,-88.059032,0,250000,2008
06-22-109-013,4.589020802,-1.732967545,-1.184382933,1.248312705,-1.725767968,-2.198401307,0.715526995,42.367701,-88.059384,0,320000,2008
06-22-109-023,3.974596034,-0.760493988,-0.871183024,1.244021509,-1.781783723,-0.336575399,0.671193939,42.366831,-88.059246,0,295500,2006
06-22-109-026,3.471123801,-0.693734713,-0.732473138,1.381984763,-1.205721106,1.772271732,0.42256247,42.366581,-88.058643,0,245000,2009
06-22-110-001,2.485160071,1.140373261,-1.367688002,1.953084579,-0.576500141,0.712055961,-0.768512905,42.371362,-88.058011,0,196000,2009
06-22-111-004,3.374642618,-0.390610795,-0.803415955,1.191264057,-1.988143871,0.39452498,0.07644482,42.365165,-88.05979,0,305000,2009
06-22-111-005,2.790236733,0.077050984,-1.003822742,1.426497433,-1.889644118,-0.182376087,-0.543989622,42.365051,-88.059534,0,300000,2007
06-22-111-008,2.52149476,-0.225819895,-0.941002292,1.676187687,-1.630117721,0.309959898,-0.283429355,42.36574,-88.059743,0,295000,2006
06-22-111-011,3.00163166,0.092998423,-0.888819468,1.360775658,-1.908601996,1.023616235,-0.38896118,42.365446,-88.059019,0,285000,2006
06-22-111-012,3.210225034,-0.000772954,-0.826346017,1.325673494,-1.952312104,-0.09320147,0.605890256,42.365684,-88.058839,0,308000,2008
06-22-112-002,3.111095354,0.220237675,-0.855169012,1.311327991,-1.661785447,0.984810226,-0.361368352,42.36536,-88.05731,0,269000,2007
06-22-112-008,4.287768777,-0.819242997,-0.620188473,0.881708052,-1.672746836,0.540479719,0.613224478,42.364918,-88.055921,0,295000,2009
06-22-112-011,3.382419119,0.301491489,-0.569589075,1.048227719,-1.488578008,1.717301734,-0.115243929,42.36442,-88.05553,0,240000,2009
06-22-112-018,5.055589491,-1.817902606,-0.581444972,0.623651426,-1.847678284,0.252750848,1.164216369,42.364764,-88.05631,0,235400,2009
06-22-112-020,3.993230143,-0.779163294,-0.795066038,0.866989829,-1.642373983,1.662635917,-0.169423703,42.364405,-88.056041,0,249000,2009
06-22-113-002,2.691938418,0.768132792,-0.755734248,1.342649414,-1.649729685,0.837184172,-0.346634392,42.364411,-88.056798,0,268900,2006
06-22-200-007,-0.067252917,0.097916471,-2.377937433,1.269418923,1.228343006,0.589722561,-0.968220701,42.369849,-88.047499,0,200000,2008
06-22-201-003,4.298018954,-0.47775576,-1.542775291,1.081339492,0.061156394,0.584377585,-0.29562756,42.367619,-88.048634,0,337000,2006
06-22-201-011,3.617166781,0.058055324,-1.849626983,1.367696697,0.293948751,-0.848154597,-0.897977792,42.367829,-88.047836,0,310000,2006
06-22-201-015,3.525803466,0.0461408,-1.986399976,1.477430386,0.355230012,-1.487094101,-0.92817202,42.368378,-88.04797,0,315000,2007
06-22-201-017,3.496026318,0.964405962,-1.352712696,1.419338747,0.52867377,0.770599715,-0.358547472,42.368116,-88.047565,0,245000,2009
06-22-201-023,4.316085256,-0.456282779,-1.659615453,1.244184979,0.447110972,-0.820902133,-0.915654851,42.368651,-88.047308,0,184900,2009
06-22-201-026,4.242082485,-0.520535166,-1.489262022,1.143663226,0.265790976,0.585124733,-0.540796718,42.370159,-88.049639,0,170000,2009
06-22-201-032,2.357192951,1.979833496,-1.486116741,1.706589267,0.521568185,0.505411469,-0.436356161,42.369248,-88.0487,0,262650,2006
06-22-201-040,2.258285072,1.864205736,-1.560822261,1.764168068,0.102055062,-1.425869965,-0.138669554,42.367817,-88.049329,0,204000,2009
06-22-201-041,2.702668156,1.395294852,-1.516072522,1.567743044,0.026760267,-0.459818887,-0.114203502,42.367657,-88.049262,0,201000,2010
06-22-201-043,3.072247368,0.820358822,-1.61768427,1.432514868,-0.074364209,-0.803825468,0.326041726,42.367392,-88.04897,0,270000,2006
06-22-201-044,1.723764165,2.621985433,-1.49141459,1.770223612,0.2362117,0.669769964,-0.611260481,42.367285,-88.048791,0,220000,2007
06-22-201-046,3.607509686,-0.305780519,-0.988778404,1.397181051,0.266758538,1.865645411,0.523577512,42.371261,-88.053351,0,307900,2008
06-22-201-051,3.507589981,0.452357455,-1.176256408,1.451114022,0.026950867,0.582855167,-0.690358876,42.371252,-88.052172,0,291000,2008
06-22-201-057,3.911867431,-0.205012902,-1.427312316,1.375541527,-0.069012538,-1.53941128,0.03600716,42.370872,-88.050725,0,257500,2009
06-22-201-059,3.861523042,-0.028146648,-1.392431012,1.323892653,0.022635712,-0.65718407,0.110406757,42.370635,-88.050363,0,295000,2006
06-22-202-003,2.441362506,1.514555582,-1.391603183,1.666358676,-0.270916371,0.589567765,-0.428431724,42.367872,-88.05252,0,229900,2006
06-22-202-005,2.327902654,1.789113922,-1.185428005,1.634324035,-0.387101047,0.382808503,0.0764893,42.367528,-88.052802,0,265000,2006
06-22-202-011,2.528308299,1.397010431,-1.382161281,1.586563145,-0.319403858,0.322879793,-0.533529866,42.36726,-88.05169,0,221000,2009
06-22-202-016,2.532339089,1.331399425,-1.343148593,1.488609833,-0.502715296,0.193505692,-0.049867398,42.366435,-88.051411,0,245000,2008
06-22-202-019,2.196867036,1.85170198,-1.159802869,1.514165966,-0.492613036,0.72916437,-0.373493778,42.365845,-88.051468,0,237000,2007
06-22-202-020,2.647141151,1.07014858,-1.342909786,1.40721328,-0.590502526,0.875245466,-0.297345253,42.365574,-88.051417,0,246900,2006
06-22-202-022,2.337375399,1.525020313,-1.188599928,1.457680078,-0.743675614,0.046726469,0.05806663,42.365402,-88.051803,0,250000,2008
06-22-202-036,2.07240508,2.135770752,-1.156712008,1.486076003,-0.334138022,0.828053618,-0.25575682,42.365215,-88.049855,0,228000,2008
06-22-202-043,2.731157953,0.942918111,-1.29358638,1.303126299,-0.869996309,-0.299705864,0.334916698,42.364885,-88.051092,0,228000,2009
06-22-202-044,2.151109776,1.927196499,-1.039334639,1.434121247,-0.65974713,0.746185816,-0.312582014,42.364948,-88.0513,0,234900,2006
06-22-202-055,2.838488271,1.092716514,-1.374969611,1.62572853,-0.321065547,0.064310972,-0.10335661,42.368233,-88.052809,0,255000,2007
06-22-202-061,2.464549998,1.206894991,-1.440072653,1.696269099,-0.675694787,-1.053720867,-0.11834488,42.367266,-88.053254,0,197000,2010
06-22-202-063,2.718924785,0.940629976,-1.379199095,1.53659139,-0.688494706,-0.456975488,-0.003690368,42.367024,-88.053089,0,183500,2009
06-22-202-064,2.457861681,1.633981177,-1.094967562,1.551100265,-0.465208636,0.773161123,-0.313100257,42.367015,-88.052862,0,295400,2007
06-22-202-070,3.003531991,0.69535636,-1.372775493,1.382221127,-0.613322097,-0.116782732,0.055380548,42.366599,-88.051826,0,287000,2006
06-22-202-078,2.773655289,0.69491273,-1.421789596,1.519038728,-0.926924328,-1.395625782,0.062616352,42.366455,-88.053198,0,202000,2010
06-22-202-079,2.534256005,1.226899905,-1.241200113,1.518536796,-0.781979112,0.096899597,-0.270823641,42.366317,-88.053041,0,266000,2006
06-22-202-081,2.747391437,0.804265191,-1.333055683,1.486381084,-0.930654801,-1.128356966,-0.050762294,42.366032,-88.05284,0,180000,2010
06-22-202-084,2.66282651,0.585173006,-1.636600289,1.528144701,-0.821618375,-1.461912642,-0.488207006,42.366136,-88.052414,0,287900,2007
06-22-202-088,2.559182817,1.148719892,-1.32699337,1.440423478,-0.664758054,0.443272664,-0.46931822,42.36577,-88.051829,0,140000,2010
06-22-203-001,2.021153508,1.957256932,-1.575929525,1.795190992,-0.098878411,0.580017458,-0.670130619,42.368164,-88.051629,0,211000,2007
06-22-203-003,3.420619251,0.880902976,-1.682750677,1.321869336,-0.508971118,-1.11947186,-0.255897121,42.368038,-88.051102,0,190000,2010
06-22-203-005,2.627919297,1.463918613,-1.445731858,1.601498563,0.027119043,0.55131484,-0.387471671,42.36803,-88.050666,0,247500,2006
06-22-203-006,2.262788513,2.067325063,-1.200020929,1.684682701,-0.064134499,0.600056255,-0.409555746,42.367975,-88.051643,0,215000,2008
06-22-203-009,3.443580795,0.423215291,-1.353934979,1.349783994,-0.370838837,-0.791108647,0.593262058,42.367507,-88.051178,0,232000,2009
06-22-203-014,2.486521629,1.543026728,-1.467048721,1.603068474,-0.058844176,0.063706879,-0.481418919,42.367443,-88.050239,0,241500,2007
06-22-203-017,2.756901871,0.555261441,-1.894328428,1.619855446,-0.276070954,-2.102616039,-0.998483366,42.367178,-88.05042,0,259000,2008
06-22-203-020,2.208110635,2.018678894,-1.196910617,1.591813879,-0.211049015,0.528257361,-0.412451607,42.366708,-88.050785,0,252500,2007
06-22-203-021,2.45094791,1.310581493,-1.505144196,1.594956377,-0.4714547,-1.132676217,-0.100534808,42.366531,-88.050777,0,252500,2006
06-22-203-022,1.716900891,2.185896952,-1.499735492,1.719295757,-0.29697051,0.053332809,-0.671045589,42.366369,-88.050684,0,210000,2007
06-22-203-028,2.785152722,1.124170353,-1.568476582,1.59057334,0.015453946,-0.212636675,-0.570614764,42.368028,-88.050425,0,233000,2006
06-22-203-030,2.480640341,1.640203982,-1.478855779,1.674158821,-0.053046198,-0.648498755,-0.031536555,42.367823,-88.05005,0,247000,2006
06-22-203-031,2.698041882,1.035499773,-1.70805689,1.584189688,-0.014932737,-0.642439625,-0.600504314,42.367664,-88.049959,0,229000,2006
06-22-203-040,2.727285885,0.853890694,-1.749055224,1.526810369,-0.269193889,-1.456597673,-0.308953499,42.366754,-88.049598,0,258000,2008
06-22-203-041,2.427129913,1.684021886,-1.408025642,1.562200096,-0.082677988,0.234359195,-0.58918347,42.366616,-88.04939,0,212500,2007
06-22-203-043,2.426448354,1.507516671,-1.461675804,1.603677354,-0.32554466,-0.572532028,-0.0199839,42.366774,-88.050409,0,255250,2006
06-22-203-045,3.317578916,0.891688377,-1.61502284,1.239973948,-0.765390224,-1.837858235,-0.564615958,42.366387,-88.050212,0,279000,2008
06-22-204-014,4.116944393,-0.434898477,-1.386144814,1.248682791,-0.218363023,-0.476549812,0.525194174,42.37039,-88.051991,0,305000,2008
06-22-204-016,3.077391556,0.801190322,-1.45727117,1.553974357,0.076597485,0.501533303,-0.519978037,42.370213,-88.051536,0,235000,2009
06-22-204-029,2.917346018,0.930807413,-1.436811287,1.584732288,0.044390101,0.496625495,-0.515940232,42.370719,-88.051898,0,238000,2008
06-22-204-034,2.779911792,0.555392077,-1.939288038,1.729361505,0.066652941,-1.76848119,-0.888081724,42.370228,-88.050847,0,227000,2009
06-22-204-036,2.702640229,1.227281707,-1.57116937,1.653600528,0.122706186,-0.262577793,-0.078065328,42.36999,-88.050487,0,256000,2007
06-22-205-002,3.323548956,0.885300542,-1.062354168,1.500218897,-0.038139223,0.822865963,-0.651168443,42.369805,-88.053033,0,317500,2007
